#  time  position  equilibrium_position  force_constant(kJ mol^-1 distance^-2)
      4038      2.55517             2.5                         500
      4058       2.4712             2.5                         500
      4078       2.4175             2.5                         500
      4098      2.52339             2.5                         500
      4118      2.55132             2.5                         500
      4138      2.53998             2.5                         500
      4158      2.49672             2.5                         500
      4178      2.37524             2.5                         500
      4198       2.4606             2.5                         500
      4218      2.36026             2.5                         500
      4238      2.56157             2.5                         500
      4258      2.46599             2.5                         500
      4278      2.54381             2.5                         500
      4298      2.47663             2.5                         500
      4318      2.50067             2.5                         500
      4338      2.55691             2.5                         500
      4358      2.53604             2.5                         500
      4378      2.47397             2.5                         500
      4398      2.46502             2.5                         500
      4418      2.53574             2.5                         500
      4438      2.44006             2.5                         500
      4458      2.56996             2.5                         500
      4478      2.42414             2.5                         500
      4498       2.5267             2.5                         500
      4518      2.56163             2.5                         500
      4538      2.43308             2.5                         500
      4558      2.53173             2.5                         500
      4578        2.689             2.5                         500
      4598      2.58201             2.5                         500
      4618      2.62301             2.5                         500
      4638      2.50237             2.5                         500
      4658      2.55266             2.5                         500
      4678      2.52069             2.5                         500
      4698      2.44334             2.5                         500
      4718        2.506             2.5                         500
      4738      2.48073             2.5                         500
      4758      2.50851             2.5                         500
      4778       2.5346             2.5                         500
      4798      2.50078             2.5                         500
      4818       2.4512             2.5                         500
      4838      2.55874             2.5                         500
      4858      2.59085             2.5                         500
      4878      2.47567             2.5                         500
      4898      2.53235             2.5                         500
      4918        2.675             2.5                         500
      4938      2.51818             2.5                         500
      4958      2.39987             2.5                         500
      4978      2.45807             2.5                         500
      4998      2.46428             2.5                         500
      5018       2.5584             2.5                         500
      5038      2.53791             2.5                         500
      5058      2.49717             2.5                         500
      5078      2.38405             2.5                         500
      5098      2.35251             2.5                         500
      5118      2.40348             2.5                         500
      5138      2.45913             2.5                         500
      5158      2.50984             2.5                         500
      5178      2.46123             2.5                         500
      5198      2.51989             2.5                         500
      5218      2.52543             2.5                         500
      5238      2.60391             2.5                         500
      5258      2.55728             2.5                         500
      5278      2.58212             2.5                         500
      5298      2.43368             2.5                         500
      5318      2.49383             2.5                         500
      5338      2.50543             2.5                         500
      5358      2.38448             2.5                         500
      5378      2.36122             2.5                         500
      5398      2.43322             2.5                         500
      5418      2.49036             2.5                         500
      5438      2.32199             2.5                         500
      5458      2.42854             2.5                         500
      5478      2.57476             2.5                         500
